No,TimeStep,Sub1,Sub2,Sub3,Sub4,Type,SrcNo
1,0.0,2,9,0,0,0,1
2,1.0,3,0,0,0,0,2
3,2.0,4,11,0,0,0,3
4,3.0,5,0,0,0,0,4
5,4.0,6,0,0,0,0,5
6,5.0,7,0,0,0,0,6
7,6.0,8,0,0,0,0,7
8,7.0,0,0,0,0,0,8
9,2.0,10,0,0,0,0,9
10,3.0,8,0,0,0,0,10
11,4.0,6,0,0,0,0,11
